event_rank,event_date,ticker,event_return,relative_observed_offset,observed_date,close,presence
1,2023-11-30,GAZT,18.649717514124294,-3,2019-12-02,85.5,False
1,2023-11-30,GAZT,18.649717514124294,-2,2019-12-05,85.0,False
1,2023-11-30,GAZT,18.649717514124294,-1,2022-11-25,88.5,False
1,2023-11-30,GAZT,18.649717514124294,0,2023-11-30,1739.0,False
1,2023-11-30,GAZT,18.649717514124294,1,2023-12-01,1739.0,False
1,2023-11-30,GAZT,18.649717514124294,2,2023-12-04,1739.0,False
1,2023-11-30,GAZT,18.649717514124294,3,2023-12-05,1739.0,False
2,2015-05-08,LPSB,2.8290598290598297,-3,2014-12-15,3.35,False
2,2015-05-08,LPSB,2.8290598290598297,-2,2015-04-01,3.5,False
2,2015-05-08,LPSB,2.8290598290598297,-1,2015-05-05,2.34,False
2,2015-05-08,LPSB,2.8290598290598297,0,2015-05-08,8.96,False
2,2015-05-08,LPSB,2.8290598290598297,1,2015-06-05,5.95,False
2,2015-05-08,LPSB,2.8290598290598297,2,2015-06-18,6.81,False
2,2015-05-08,LPSB,2.8290598290598297,3,2015-06-22,8.76,False
3,2023-07-19,PRFN,2.1783783783783788,-3,2019-10-04,1.41,False
3,2023-07-19,PRFN,2.1783783783783788,-2,2019-10-07,1.3845,False
3,2023-07-19,PRFN,2.1783783783783788,-1,2019-10-08,1.3875,False
3,2023-07-19,PRFN,2.1783783783783788,0,2023-07-19,4.41,False
3,2023-07-19,PRFN,2.1783783783783788,1,2023-07-20,4.268,False
3,2023-07-19,PRFN,2.1783783783783788,2,2023-07-21,4.57,False
3,2023-07-19,PRFN,2.1783783783783788,3,2023-07-24,6.17,False
4,2015-10-21,TAER,1.8676470588235294,-3,2015-10-16,7.0,False
4,2015-10-21,TAER,1.8676470588235294,-2,2015-10-19,6.8,False
4,2015-10-21,TAER,1.8676470588235294,-1,2015-10-20,6.8,False
4,2015-10-21,TAER,1.8676470588235294,0,2015-10-21,19.5,False
4,2015-10-21,TAER,1.8676470588235294,1,2015-10-22,15.0,False
4,2015-10-21,TAER,1.8676470588235294,2,2015-10-23,11.01,False
4,2015-10-21,TAER,1.8676470588235294,3,2015-10-26,7.83,True
5,2023-11-30,GAZS,1.5579268292682928,-3,2015-02-13,293.0,False
5,2023-11-30,GAZS,1.5579268292682928,-2,2015-02-16,293.0,False
5,2023-11-30,GAZS,1.5579268292682928,-1,2022-11-25,328.0,False
5,2023-11-30,GAZS,1.5579268292682928,0,2023-11-30,839.0,False
5,2023-11-30,GAZS,1.5579268292682928,1,2023-12-01,839.0,False
5,2023-11-30,GAZS,1.5579268292682928,2,2023-12-04,839.0,False
5,2023-11-30,GAZS,1.5579268292682928,3,2023-12-05,839.0,False
6,2015-11-05,USBN,1.5222551928783385,-3,2015-10-30,0.0347,False
6,2015-11-05,USBN,1.5222551928783385,-2,2015-11-02,0.0342,False
6,2015-11-05,USBN,1.5222551928783385,-1,2015-11-03,0.0337,False
6,2015-11-05,USBN,1.5222551928783385,0,2015-11-05,0.085,False
6,2015-11-05,USBN,1.5222551928783385,1,2015-11-06,0.1595,False
6,2015-11-05,USBN,1.5222551928783385,2,2015-11-09,0.1588,False
6,2015-11-05,USBN,1.5222551928783385,3,2015-11-10,0.1301,False
7,2013-08-15,PHOR,1.1987497996473793,-3,2013-08-12,991.6,False
7,2013-08-15,PHOR,1.1987497996473793,-2,2013-08-13,1000.0,False
7,2013-08-15,PHOR,1.1987497996473793,-1,2013-08-14,623.9,False
7,2013-08-15,PHOR,1.1987497996473793,0,2013-08-15,1371.8,False
7,2013-08-15,PHOR,1.1987497996473793,1,2013-09-02,929.9,False
7,2013-08-15,PHOR,1.1987497996473793,2,2013-09-03,928.0,False
7,2013-08-15,PHOR,1.1987497996473793,3,2013-09-04,937.7,False
8,2024-12-09,LPSB,1.1808873720136517,-3,2023-07-31,27.0,False
8,2024-12-09,LPSB,1.1808873720136517,-2,2023-08-01,27.6,False
8,2024-12-09,LPSB,1.1808873720136517,-1,2023-08-02,29.3,False
8,2024-12-09,LPSB,1.1808873720136517,0,2024-12-09,63.9,False
8,2024-12-09,LPSB,1.1808873720136517,1,2024-12-10,62.8,False
8,2024-12-09,LPSB,1.1808873720136517,2,2024-12-11,63.25,False
8,2024-12-09,LPSB,1.1808873720136517,3,2024-12-12,63.9,False
9,2014-12-15,LPSB,1.09375,-3,2014-08-15,1.6,False
9,2014-12-15,LPSB,1.09375,-2,2014-08-21,1.6,False
9,2014-12-15,LPSB,1.09375,-1,2014-11-05,1.6,False
9,2014-12-15,LPSB,1.09375,0,2014-12-15,3.35,False
9,2014-12-15,LPSB,1.09375,1,2015-04-01,3.5,False
9,2014-12-15,LPSB,1.09375,2,2015-05-05,2.34,False
9,2014-12-15,LPSB,1.09375,3,2015-05-08,8.96,False
10,2014-12-18,AFKS,1.0620272314674737,-3,2014-12-15,6.65,True
10,2014-12-18,AFKS,1.0620272314674737,-2,2014-12-16,6.01,True
10,2014-12-18,AFKS,1.0620272314674737,-1,2014-12-17,6.61,True
10,2014-12-18,AFKS,1.0620272314674737,0,2014-12-18,13.63,True
10,2014-12-18,AFKS,1.0620272314674737,1,2014-12-19,13.82,True
10,2014-12-18,AFKS,1.0620272314674737,2,2014-12-22,12.29,True
10,2014-12-18,AFKS,1.0620272314674737,3,2014-12-23,10.8,True
11,2014-11-27,VRSBP,1.0333333333333332,-3,2014-09-11,13.989,False
11,2014-11-27,VRSBP,1.0333333333333332,-2,2014-10-02,11.05,False
11,2014-11-27,VRSBP,1.0333333333333332,-1,2014-10-23,7.5,False
11,2014-11-27,VRSBP,1.0333333333333332,0,2014-11-27,15.25,False
11,2014-11-27,VRSBP,1.0333333333333332,1,2014-12-05,11.95,False
11,2014-11-27,VRSBP,1.0333333333333332,2,2014-12-17,7.5,False
11,2014-11-27,VRSBP,1.0333333333333332,3,2014-12-18,10.0,False
12,2023-11-30,GAZC,1.0091463414634148,-3,2015-02-16,293.0,False
12,2023-11-30,GAZC,1.0091463414634148,-2,2018-10-29,295.0,False
12,2023-11-30,GAZC,1.0091463414634148,-1,2022-11-25,328.0,False
12,2023-11-30,GAZC,1.0091463414634148,0,2023-11-30,659.0,False
12,2023-11-30,GAZC,1.0091463414634148,1,2023-12-01,659.0,False
12,2023-11-30,GAZC,1.0091463414634148,2,2023-12-04,659.0,False
12,2023-11-30,GAZC,1.0091463414634148,3,2023-12-05,659.0,False
