robustness_rank,lookback_label,skip_label,quantile,n_markets,mean_sharpe,median_sharpe,worst_market_sharpe,best_market_sharpe,std_sharpe,mean_annualized_return,worst_annualized_return,mean_max_drawdown,worst_max_drawdown,mean_annualized_turnover,n_positive_markets,n_caveated_runs,all_markets_positive
1,6M,1M,0.2,3,0.6040491997352325,0.5729656241696687,0.3682680583526178,0.8709139166834109,0.25276047204167434,0.0828375287623876,0.0304668543688146,-0.29672463175750996,-0.364539765861985,4.943530083306682,3,0,True
2,6M,1M,0.3,3,0.6266571134191757,0.5667307274244847,0.3160911395566306,0.997149473276412,0.34446116223179624,0.07021866522677571,0.0219795487182483,-0.2642901047598581,-0.3215803209810386,4.355465935404189,3,0,True
3,6M,3M,0.3,3,0.4918074223127718,0.3490490889012259,0.3111233806904218,0.8152497973466677,0.28075045380461683,0.0415808096049786,0.0219176423585234,-0.2925922210165594,-0.4357676332158191,4.429315174199918,3,0,True
4,6M,0M,0.2,3,0.4909063639613471,0.2512278286980848,0.2509465814858257,0.9705446817001308,0.415378991593781,0.04764285462273663,0.0198771546058009,-0.3195267764211022,-0.3969932910215967,4.872337701973453,3,0,True
5,12M,1M,0.1,3,0.41482981489404896,0.2553060780100749,0.2367676018034363,0.7524157648686356,0.29250491276250234,0.044687771449211135,0.0128904350505896,-0.42546531907034807,-0.5485770159521695,4.852449331239783,3,0,True
6,12M,0M,0.3,3,0.47935207279826814,0.2732370032347234,0.1830143604016774,0.9818048547584036,0.43746900449580933,0.03650865438020627,0.0146277541495194,-0.3032012242039986,-0.3924965849667717,3.4341459003626476,3,1,True
7,6M,0M,0.3,3,0.48751751689624917,0.2294962575199619,0.1826548763079401,1.0504014168608455,0.48803405862498755,0.036185036910242496,0.0134730932207869,-0.29138739568115196,-0.3490607651694342,4.272764750301691,3,0,True
8,6M,0M,0.1,3,0.37947144131289695,0.2890381220697502,0.1105957537767562,0.7387804480921843,0.3237091927410181,0.029877039346424866,-0.0381784532722584,-0.4947331177947345,-0.7395641241382691,5.697847240880711,3,0,True
9,12M,3M,0.1,3,0.28198098265753974,0.1940116136751345,0.1096129178539241,0.5423184164435606,0.22937408209472665,0.020651219375949666,-0.0069181728481064,-0.45621453132035916,-0.5789181359542559,4.7782383618891595,3,0,True
10,12M,0M,0.2,3,0.4490563448689218,0.2810607812137179,0.1035540906617157,0.962554162731332,0.45347233985081575,0.033267158618582836,-0.016689929166293,-0.36738088257454177,-0.4817686041892126,3.8504207637990873,3,1,True
11,12M,0M,0.1,3,0.4237529534013081,0.28167507850003,0.103263448942269,0.8863203327616254,0.4104072522831044,0.034711548818752304,-0.0428861425692634,-0.43609150342117387,-0.5701076702613663,4.6298731004736755,3,1,True
12,6M,1M,0.1,3,0.39584435018827396,0.4488132809029431,0.0823439198933108,0.6563758497685679,0.290658639721701,0.022552546660360134,-0.0580175066664496,-0.4571989148225371,-0.6211683856164493,5.701832507920322,3,0,True
13,12M,1M,0.2,3,0.3547605679523194,0.2331815658849474,0.050670908030742,0.780429229941269,0.37976689219466014,0.017523802371214932,-0.0370819916522843,-0.3559747165785209,-0.4618733740876696,4.009039414932951,3,0,True
14,12M,1M,0.3,3,0.30513699931611876,0.2076941698414531,0.0126770202760554,0.6950398078308477,0.3514627607896863,0.011414464829486068,-0.0292850847862847,-0.3343870075458198,-0.4770000628972867,3.53578394953624,3,0,True
15,12M,3M,0.2,3,0.1936089973200081,0.0899446215764357,-0.0299238488784096,0.5208062192619982,0.28963015914647594,-0.0027958867424712,-0.0553562400078082,-0.4432675205179321,-0.6218822426707311,4.001919885626016,2,0,False
16,6M,3M,0.1,3,0.36085804328004595,0.489012249195197,-0.0347990680951951,0.6283609487401361,0.3496611607722058,0.011220833514220869,-0.0891730711069328,-0.41063708506431085,-0.6075664134314176,5.765039851763998,2,0,False
17,6M,3M,0.2,3,0.3919261147893934,0.4050355759865759,-0.099794857907428,0.8705376262890323,0.485299058263437,0.01320089582609337,-0.0669930677249285,-0.35326065296267783,-0.5746985330962844,4.940720086710548,2,0,False
18,24M,1M,0.2,3,-0.019957435706133574,0.0073627477800553,-0.1599988031442275,0.0927637482457715,0.12857690759068965,-0.021302627589543432,-0.0505248056006242,-0.48190113170355303,-0.6605001131385897,3.4955337709427883,2,0,False
