market,run_id,lookback_label,skip_label,quantile,sharpe,annualized_return,annualized_vol,max_drawdown,annualized_turnover,min_n_long,min_n_short,n_zero_target_rebalances
crypto,crypto_lb6M_sk1M_q20,6M,1M,0.2,0.5729656241696687,0.1389921014887856,0.3110779313518769,-0.3113283812300682,6.213171762990374,5,5,0
crypto,crypto_lb6M_sk1M_q30,6M,1M,0.3,0.5667307274244847,0.1176706466939367,0.2523059534812087,-0.2868007912486328,5.567771807827457,8,8,0
crypto,crypto_lb6M_sk3M_q30,6M,3M,0.3,0.3111233806904218,0.0467820664212528,0.2387574794281595,-0.4357676332158191,5.751611980236337,8,8,0
crypto,crypto_lb6M_sk0M_q20,6M,0M,0.2,0.2512278286980848,0.0300673920673026,0.3194923600135358,-0.382859146281412,5.98034910406299,5,5,0
crypto,crypto_lb12M_sk1M_q10,12M,1M,0.1,0.2367676018034363,0.0128904350505896,0.4086671657717224,-0.5318638996093601,6.811003810247097,2,2,0
moex,moex_lb6M_sk0M_q30,6M,0M,0.3,1.0504014168608455,0.0795678928070282,0.0756243719835,-0.2002069994061032,3.693511968598375,13,13,0
moex,moex_lb6M_sk1M_q30,6M,1M,0.3,0.997149473276412,0.0710058002681421,0.0713588175834463,-0.1844892020499028,3.7286689293276103,13,13,0
moex,moex_lb12M_sk0M_q30,12M,0M,0.3,0.9818048547584036,0.075319273523196,0.0769974356729174,-0.1495641046607372,2.819471999708304,0,0,1
moex,moex_lb6M_sk0M_q20,6M,0M,0.2,0.9705446817001308,0.0929840171951064,0.0964180651731159,-0.1787278919602979,4.330498930257022,8,8,0
moex,moex_lb12M_sk0M_q20,12M,0M,0.2,0.962554162731332,0.0931876812222887,0.0975284718837278,-0.1698392345059477,3.1556306563782663,0,0,1
us,us_lb6M_sk3M_q10,6M,3M,0.1,0.489012249195197,0.045032399983389,0.1004448313078975,-0.4282036827735759,4.974718894955163,116,116,0
us,us_lb6M_sk1M_q10,6M,1M,0.1,0.4488132809029431,0.045877628293093,0.1146482779234014,-0.4592463820910267,4.985038845260122,116,116,0
us,us_lb6M_sk3M_q20,6M,3M,0.2,0.4050355759865759,0.0302604693856223,0.0819233423706554,-0.3628082533534522,4.314087908540076,233,233,0
us,us_lb6M_sk1M_q20,6M,1M,0.2,0.3682680583526178,0.0304668543688146,0.0933804690647491,-0.364539765861985,4.312058939051141,232,232,0
us,us_lb6M_sk3M_q30,6M,3M,0.3,0.3490490889012259,0.0219176423585234,0.0689485388343424,-0.3045013464738376,3.77640527999618,350,350,0
