market,run_id,selection_eligible,exclusion_reason,n_folds,top_fraction_rank_cutoff,median_train_rank,mean_train_rank,median_test_rank,mean_test_rank,worst_test_rank,median_absolute_rank_change,test_top_fraction_share,positive_test_net_sharpe_share,mean_test_net_sharpe,median_test_net_sharpe,worst_test_net_sharpe,mean_test_net_information_ratio,passes_median_train_top_fraction,passes_median_test_top_fraction,passes_test_top_fraction_share,passes_positive_test_sharpe_share,passes_rank_change_limit,stable_config
crypto,crypto_lb6M_sk1M_q30,True,,2,9,6.5,6.5,7.5,7.5,12.0,9.0,0.5,1.0,0.8053910782627048,0.8053910782627048,0.040274943907497696,0.461556437883637,True,True,True,True,True,True
crypto,crypto_lb12M_sk3M_q20,True,,2,9,5.5,5.5,9.0,9.0,11.0,3.5,0.5,1.0,0.5842353113831025,0.5842353113831025,0.0435573272660937,0.4966998164829114,True,True,True,True,True,True
crypto,crypto_lb6M_sk3M_q30,True,,2,9,17.5,17.5,3.5,3.5,6.0,14.0,1.0,1.0,1.4856087728417888,1.4856087728417888,1.4342624412986082,0.6031614011917003,False,True,True,True,False,False
crypto,crypto_lb6M_sk1M_q20,True,,2,9,9.5,9.5,4.0,4.0,7.0,11.5,1.0,1.0,1.3160127639911416,1.3160127639911416,0.4060979825217078,0.7496062480340596,False,True,True,True,False,False
crypto,crypto_lb12M_sk0M_q10,True,,2,9,21.5,21.5,8.5,8.5,13.0,13.0,0.5,1.0,0.7221903565975858,0.7221903565975858,0.7093676692464043,0.4851144349670239,False,True,True,True,False,False
crypto,crypto_lb6M_sk1M_q10,True,,2,9,17.0,17.0,10.0,10.0,10.0,7.0,0.0,1.0,0.5105464445261654,0.5105464445261654,0.051999685876965726,0.5014388098454876,False,False,False,True,True,False
crypto,crypto_lb6M_sk3M_q20,True,,2,9,25.5,25.5,11.0,11.0,19.0,14.5,0.5,1.0,0.6821392363267043,0.6821392363267043,0.5127921200177901,0.3894312798893949,False,False,True,True,False,False
crypto,crypto_lb24M_sk3M_q10,True,,2,9,10.0,10.0,12.0,12.0,22.0,18.0,0.5,1.0,0.6402474975834158,0.6402474975834158,0.20159810354475202,0.7662654241301119,False,False,True,True,False,False
crypto,crypto_lb6M_sk3M_q10,True,,2,9,13.0,13.0,12.0,12.0,18.0,9.0,0.5,1.0,0.5466239270037481,0.5466239270037481,0.546373901407089,0.4296472488265061,False,False,True,True,True,False
crypto,crypto_lb12M_sk0M_q30,True,,2,9,16.0,16.0,12.0,12.0,13.0,4.0,0.0,0.5,0.438612883610976,0.438612883610976,-0.0035216125513166,0.31486027834781577,False,False,False,True,True,False
