market,sample,variant,base_strategy_type,base_strategy_is_stable,base_strategy_members,switching_tc_bps,mean_exposure,risk_off_share,n_switches,total_switching_turnover,switching_tc_drag_arithmetic,missed_positive_return_sum,avoided_negative_return_sum,baseline_n_days,baseline_start,baseline_end,baseline_total_return,baseline_annualized_return,baseline_annualized_volatility,baseline_sharpe,baseline_sortino,baseline_max_drawdown,baseline_calmar,baseline_worst_day,baseline_q01_daily_return,baseline_expected_shortfall_1pct,protected_n_days,protected_start,protected_end,protected_total_return,protected_annualized_return,protected_annualized_volatility,protected_sharpe,protected_sortino,protected_max_drawdown,protected_calmar,protected_worst_day,protected_q01_daily_return,protected_expected_shortfall_1pct,delta_annualized_return,delta_sharpe,delta_sortino,delta_max_drawdown,delta_calmar,delta_expected_shortfall_1pct,crisis_window,crisis_start,crisis_end,evidence_role
crypto,validation_crisis_diagnostic,combo_and_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,365,2022-01-01,2022-12-31,-0.007698911156221455,-0.007698911156221455,0.18463561090451833,0.05033645206526775,0.0674255341715494,-0.21870548424790626,-0.035202186093763486,-0.053416633425098836,-0.02417514482657254,-0.0362807860326528,365,2022-01-01,2022-12-31,-0.007698911156221455,-0.007698911156221455,0.18463561090451833,0.05033645206526775,0.0674255341715494,-0.21870548424790626,-0.035202186093763486,-0.053416633425098836,-0.02417514482657254,-0.0362807860326528,0.0,0.0,0.0,0.0,0.0,0.0,crypto_crisis_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
crypto,validation_crisis_diagnostic,market_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,365,2022-01-01,2022-12-31,-0.007698911156221455,-0.007698911156221455,0.18463561090451833,0.05033645206526775,0.0674255341715494,-0.21870548424790626,-0.035202186093763486,-0.053416633425098836,-0.02417514482657254,-0.0362807860326528,365,2022-01-01,2022-12-31,-0.007698911156221455,-0.007698911156221455,0.18463561090451833,0.05033645206526775,0.0674255341715494,-0.21870548424790626,-0.035202186093763486,-0.053416633425098836,-0.02417514482657254,-0.0362807860326528,0.0,0.0,0.0,0.0,0.0,0.0,crypto_crisis_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
crypto,validation_crisis_diagnostic,no_protection,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,365,2022-01-01,2022-12-31,-0.007698911156221455,-0.007698911156221455,0.18463561090451833,0.05033645206526775,0.0674255341715494,-0.21870548424790626,-0.035202186093763486,-0.053416633425098836,-0.02417514482657254,-0.0362807860326528,365,2022-01-01,2022-12-31,-0.007698911156221455,-0.007698911156221455,0.18463561090451833,0.05033645206526775,0.0674255341715494,-0.21870548424790626,-0.035202186093763486,-0.053416633425098836,-0.02417514482657254,-0.0362807860326528,0.0,0.0,0.0,0.0,0.0,0.0,crypto_crisis_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
crypto,validation_crisis_diagnostic,portfolio_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,365,2022-01-01,2022-12-31,-0.007698911156221455,-0.007698911156221455,0.18463561090451833,0.05033645206526775,0.0674255341715494,-0.21870548424790626,-0.035202186093763486,-0.053416633425098836,-0.02417514482657254,-0.0362807860326528,365,2022-01-01,2022-12-31,-0.007698911156221455,-0.007698911156221455,0.18463561090451833,0.05033645206526775,0.0674255341715494,-0.21870548424790626,-0.035202186093763486,-0.053416633425098836,-0.02417514482657254,-0.0362807860326528,0.0,0.0,0.0,0.0,0.0,0.0,crypto_crisis_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
crypto,validation_crisis_diagnostic,combo_and_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,0.6413043478260869,0.358695652173913,2,1.0,0.001,0.12476855473567912,0.1291534579328812,92,2021-05-01,2021-07-31,-0.02996322441834054,-0.11369414768421038,0.3517621936658912,-0.1654025537965235,-0.17521301833855427,-0.16422051781963665,-0.6923260819886138,-0.09511584221455847,-0.06478042016762,-0.09511584221455847,92,2021-05-01,2021-07-31,-0.024725047832921843,-0.09455341761960612,0.328323114834376,-0.13630819040366043,-0.11721692862954317,-0.16422051781963665,-0.5757710356476534,-0.09511584221455847,-0.06478042016762,-0.09511584221455847,0.01914073006460426,0.02909436339286306,0.0579960897090111,0.0,0.11655504634096037,0.0,crypto_selloff_2021,2021-05-01,2021-07-31,in_sample_validation_diagnostic_only
crypto,validation_crisis_diagnostic,market_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,0.4891304347826087,0.5108695652173914,2,1.0,0.001,0.16717546401262875,0.22147128583484157,92,2021-05-01,2021-07-31,-0.02996322441834054,-0.11369414768421038,0.3517621936658912,-0.1654025537965235,-0.17521301833855427,-0.16422051781963665,-0.6923260819886138,-0.09511584221455847,-0.06478042016762,-0.09511584221455847,92,2021-05-01,2021-07-31,0.02649749891224129,0.10933117005605775,0.31220174880952006,0.4909101742015583,0.3404694851484483,-0.16422051781963665,0.6657582834815814,-0.09511584221455847,-0.06478042016762,-0.09511584221455847,0.22302531774026813,0.6563127279980818,0.5156825034870026,0.0,1.3580843654701953,0.0,crypto_selloff_2021,2021-05-01,2021-07-31,in_sample_validation_diagnostic_only
crypto,validation_crisis_diagnostic,no_protection,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,92,2021-05-01,2021-07-31,-0.02996322441834054,-0.11369414768421038,0.3517621936658912,-0.1654025537965235,-0.17521301833855427,-0.16422051781963665,-0.6923260819886138,-0.09511584221455847,-0.06478042016762,-0.09511584221455847,92,2021-05-01,2021-07-31,-0.02996322441834054,-0.11369414768421038,0.3517621936658912,-0.1654025537965235,-0.17521301833855427,-0.16422051781963665,-0.6923260819886138,-0.09511584221455847,-0.06478042016762,-0.09511584221455847,0.0,0.0,0.0,0.0,0.0,0.0,crypto_selloff_2021,2021-05-01,2021-07-31,in_sample_validation_diagnostic_only
crypto,validation_crisis_diagnostic,portfolio_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,0.31521739130434784,0.6847826086956522,2,1.0,0.001,0.4316178774323279,0.3428348789979494,92,2021-05-01,2021-07-31,-0.02996322441834054,-0.11369414768421038,0.3517621936658912,-0.1654025537965235,-0.17521301833855427,-0.16422051781963665,-0.6923260819886138,-0.09511584221455847,-0.06478042016762,-0.09511584221455847,92,2021-05-01,2021-07-31,-0.10258081600933588,-0.34910017178645447,0.17101066984519328,-2.4231625594084574,-1.5005285822006846,-0.15107073255713377,-2.310839206756527,-0.06178021359154917,-0.028164362284830404,-0.06178021359154917,-0.2354060241022441,-2.257760005611934,-1.3253155638621303,0.013149785262502878,-1.6185131247679134,0.0333356286230093,crypto_selloff_2021,2021-05-01,2021-07-31,in_sample_validation_diagnostic_only
moex,validation_crisis_diagnostic,combo_and_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,0.7182539682539683,0.28174603174603174,8,4.0,0.008,0.08133732151846775,0.17305749172674936,252,2022-01-03,2022-12-30,0.03096926870720207,0.03096926870720207,0.1288024460952318,0.3010291712901897,0.37958661820314593,-0.14385284090671757,0.2152843733359727,-0.05712950151895469,-0.018513264724159505,-0.033240244845043836,252,2022-01-03,2022-12-30,0.12202135073697784,0.12202135073697784,0.12128687334601337,1.0099482362532584,1.0513302506186708,-0.09184135341126831,1.3286101108567359,-0.05712950151895469,-0.018513264724159505,-0.033240244845043836,0.09105208202977577,0.7089190649630687,0.6717436324155248,0.05201148749544926,1.1133257375207632,0.0,moex_structural_break_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
moex,validation_crisis_diagnostic,market_vol_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,0.5634920634920635,0.4365079365079365,6,3.0,0.006,0.22253070757337862,0.22904858008956516,252,2022-01-03,2022-12-30,0.03096926870720207,0.03096926870720207,0.1288024460952318,0.3010291712901897,0.37958661820314593,-0.14385284090671757,0.2152843733359727,-0.05712950151895469,-0.018513264724159505,-0.033240244845043836,252,2022-01-03,2022-12-30,0.03358621772113124,0.03358621772113124,0.11196572878154434,0.3509213627416672,0.31691861867076826,-0.1039076944595585,0.32323128615083646,-0.05712950151895469,-0.01595558381599511,-0.03249587474090484,0.0026169490139291707,0.0498921914514775,-0.06266799953237767,0.039945146447159074,0.10794691281486377,0.0007443701041389972,moex_structural_break_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
