market,sample,variant,base_strategy_type,base_strategy_is_stable,base_strategy_members,switching_tc_bps,mean_exposure,risk_off_share,n_switches,total_switching_turnover,switching_tc_drag_arithmetic,missed_positive_return_sum,avoided_negative_return_sum,baseline_n_days,baseline_start,baseline_end,baseline_total_return,baseline_annualized_return,baseline_annualized_volatility,baseline_sharpe,baseline_sortino,baseline_max_drawdown,baseline_calmar,baseline_worst_day,baseline_q01_daily_return,baseline_expected_shortfall_1pct,protected_n_days,protected_start,protected_end,protected_total_return,protected_annualized_return,protected_annualized_volatility,protected_sharpe,protected_sortino,protected_max_drawdown,protected_calmar,protected_worst_day,protected_q01_daily_return,protected_expected_shortfall_1pct,delta_annualized_return,delta_sharpe,delta_sortino,delta_max_drawdown,delta_calmar,delta_expected_shortfall_1pct
crypto,retrospective_holdout,combo_and_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,0.0,0.0,0.0,0.0,0.0,0.0
crypto,retrospective_holdout,market_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,0.0,0.0,0.0,0.0,0.0,0.0
crypto,retrospective_holdout,no_protection,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,0.0,0.0,0.0,0.0,0.0,0.0
crypto,retrospective_holdout,portfolio_vol_q90,stable_ensemble,True,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,10.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,-0.055777781268661696,-0.029421481824021996,-0.04291138512540971,0.0,0.0,0.0,0.0,0.0,0.0
moex,retrospective_holdout,combo_and_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,0.0,0.0,0.0,0.0,0.0,0.0
moex,retrospective_holdout,market_vol_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,0.0,0.0,0.0,0.0,0.0,0.0
moex,retrospective_holdout,no_protection,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,0.0,0.0,0.0,0.0,0.0,0.0
moex,retrospective_holdout,portfolio_vol_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,0.8058823529411765,0.19411764705882353,4,2.0,0.004,0.24881821962702194,0.20214192819517948,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,-0.023813199019572573,-0.01638052307883745,-0.01979368078711288,510,2023-01-03,2024-12-30,-0.01124845335467961,-0.005573963001706539,0.06961507008204941,-0.04552990128331113,-0.05680891868937053,-0.11147095507406968,-0.05000372516771547,-0.023813199019572573,-0.014942341045327937,-0.019457875057848583,-0.02421102094259353,-0.3102233787191909,-0.4481515152956504,-0.008655140432006214,-0.23127017727694477,0.0003358057292642963
us,retrospective_holdout,combo_and_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,0.0,0.0,0.0,0.0,0.0,0.0
us,retrospective_holdout,market_vol_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,1,0.5,0.00125,0.0,-0.0,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,502,2023-01-03,2024-12-31,-0.11604124468197774,-0.060040175079250524,0.09800682731913488,-0.5827014257543538,-0.8676322041229038,-0.1388095433982517,-0.4325363632022921,-0.020530593868864716,-0.015138584019068028,-0.017508099303408343,-0.0005960615095844668,-0.0060271903725277465,-0.008294279159220097,-1.1102230246251565e-16,-0.004294096032534944,0.0
